ref_keys,pmids,methods_section,anchor_text,anchor_occurrences_in_PAPER_md,surrounding_context,placement_note
limma_ritchie2015;voom_law2014;ebayes_smyth2004,25605792;24485249;16646809,2.2,"an empirical-Bayes moderated
t-test equivalent to limma-trend implemented directly in NumPy/SciPy",1,"# 2.2 Differential expression and cross-cohort replication  Each cohort was analysed separately, on its own scale, with an empirical-Bayes moderated t-test equivalent to limma-trend implemented directly in NumPy/SciPy. Genes were retained when expression exceeded 1.0 (RPKM or CPM as appropriate) in at least 20% of the smaller group's s",insert citation marker(s) at end of the anchor sentence
ebayes_smyth2004,16646809,4.6 Limitations,"The
empirical-Bayes moderated *t* is our own implementation of a limma-trend
equivalent, not a call into limma.",1,"s, so cross-cohort effect sizes are not strictly comparable; we rely on rank concordance rather than pooled magnitudes. The empirical-Bayes moderated *t* is our own implementation of a limma-trend equivalent, not a call into limma.  **GTEx heart is non-failing.** Tissue specificity in healthy myocardium bounds baseline distinctiveness, not HF induci",insert citation marker(s) at end of the anchor sentence
bh_fdr_1995,,2.2,"Multiplicity was controlled by Benjamini–Hochberg FDR
at 0.05.",1,"ior degrees of freedom fitted to 3.04 (discovery) and 4.82 (validation); the variance trend used a 0.4 lowess fraction. Multiplicity was controlled by Benjamini–Hochberg FDR at 0.05. Ensembl identifiers were version-stripped before intersecting the cohorts, yielding 18,061 shared genes.  A gene entere",insert citation marker(s) at end of the anchor sentence
pancan_weinstein2013;pancan_hoadley2018;gdc_grossman2016;rsem_li2011,24071849;29625048;27653561;21816040,2.1,"Tumour transcriptomes: the GDC PanCanAtlas EBPlusPlusAdjustPANCAN gene-expression
matrix. Values are RSEM `normalized_count` (batch-corrected, upper-quartile scaled), not TPM
and not FPKM.",1,"perimental design. GSE57345's GPL9052 sub-series is a stub carrying no value rows and 6 samples, and was not analysed.  Tumour transcriptomes: the GDC PanCanAtlas EBPlusPlusAdjustPANCAN gene-expression matrix. Values are RSEM `normalized_count` (batch-corrected, upper-quartile scaled), not TPM and not FPKM. Aliquot barcodes were parsed to sample type and study; analysis retained primary solid tumours only (sample-type code `",insert citation marker(s) at end of the anchor sentence
gtex_v8_2020,32913098,2.1,GTEx v8 median TPM per tissue across 52 tissues,1,"tations (`search_download.php`, columns `g,eg,pc,secl,scml,rnats,blconcms`); CellChatDB human (`CellChatDB.human.rda`); GTEx v8 median TPM per tissue across 52 tissues; the Thorsson immune-landscape feature tables, leukocyte fraction, ABSOLUTE purity and TCGA-CDR clinical endpoints from",insert citation marker(s) at end of the anchor sentence
hpa_uhlen2015;hpa_secretome_uhlen2019,25613900;31772123,2.1,Supporting resources: Human Protein Atlas protein-class and secretome annotations,1,"the same matrix: 710 samples mapped to a tumour type, of which 680 fall in the 15 types retaining at least 10 normals.  Supporting resources: Human Protein Atlas protein-class and secretome annotations (`search_download.php`, columns `g,eg,pc,secl,scml,rnats,blconcms`); CellChatDB human (`CellChatDB.human.rda`); GTEx v8",insert citation marker(s) at end of the anchor sentence
cellchat_jin2021,33597522,2.1,"CellChatDB human
(`CellChatDB.human.rda`)",1,"tein Atlas protein-class and secretome annotations (`search_download.php`, columns `g,eg,pc,secl,scml,rnats,blconcms`); CellChatDB human (`CellChatDB.human.rda`); GTEx v8 median TPM per tissue across 52 tissues; the Thorsson immune-landscape feature tables, leukocyte fraction, ABS",insert citation marker(s) at end of the anchor sentence
thorsson2018,29628290,2.1,"the Thorsson
immune-landscape feature tables, leukocyte fraction, ABSOLUTE purity and TCGA-CDR
clinical endpoints from GDC",1,"secl,scml,rnats,blconcms`); CellChatDB human (`CellChatDB.human.rda`); GTEx v8 median TPM per tissue across 52 tissues; the Thorsson immune-landscape feature tables, leukocyte fraction, ABSOLUTE purity and TCGA-CDR clinical endpoints from GDC; DepMap 24Q4 Public (figshare article 27993248; depmap.org serves a bot-verification interstitial, so the release is re",insert citation marker(s) at end of the anchor sentence
absolute_carter2012,22544022,2.1,ABSOLUTE purity and TCGA-CDR,1,"a`); GTEx v8 median TPM per tissue across 52 tissues; the Thorsson immune-landscape feature tables, leukocyte fraction, ABSOLUTE purity and TCGA-CDR clinical endpoints from GDC; DepMap 24Q4 Public (figshare article 27993248; depmap.org serves a bot-verification inters",insert citation marker(s) at end of the anchor sentence
tcga_cdr_liu2018,29625055,2.1,"TCGA-CDR
clinical endpoints from GDC",1,"TPM per tissue across 52 tissues; the Thorsson immune-landscape feature tables, leukocyte fraction, ABSOLUTE purity and TCGA-CDR clinical endpoints from GDC; DepMap 24Q4 Public (figshare article 27993248; depmap.org serves a bot-verification interstitial, so the release is re",insert citation marker(s) at end of the anchor sentence
