gene,established_in_human_HF,hf_evidence_type,best_pmids,receptor(s),receptor_cancer_evidence,notes
NPPA,yes,transcript + protein (plasma) + clinical; myocardial and atrial expression and plasma ANP rise with wall stress in human HF; guideline biomarker,32444692;30120963,NPR1 (NPR-A/GC-A); NPR3 (clearance),"Mixed and contradictory. NPR1 is pro-tumorigenic in gastric cancer (knockdown causes G2/M arrest; anti-NPR1 antibody reduces xenograft burden; PMID 27634171, 38151776), yet ANP-family peptides are reported to kill cancer cells in vitro at micromolar doses (PMID 16297362). No functional evidence for NPR3 in solid tumours retrieved.","BNP had no antiproliferative effect even at 100x the active ANP concentration (16297362), so the two natriuretic peptides are not interchangeable. Anticancer claims come largely from one research programme at supraphysiological doses."
NPPB,yes,transcript + protein (plasma) + clinical; the diagnostic HF biomarker; circulating form is predominantly weakly-active proBNP,32444692;30120963,NPR1 (GC-A); NPR3,Weak. No retrieved study shows BNP or proBNP driving solid tumour growth through NPR1; the one direct in vitro comparison found BNP inactive against cancer cells (16297362).,"Transcript elevation in myocardium is unambiguous, but the dominant circulating species is proBNP with low receptor activity - a transcript-level nomination overstates the bioactive signal."
NPR1,n/a (receptor),"receptor, not an HF-secreted ligand",32444692,ligand: ANP/BNP,Pro-tumorigenic in gastric cancer with antibody proof-of-concept in xenografts (38151776) and ROS/cell-cycle mechanism (27634171); high tumour NPR1 predicted recurrence.,Evidence concentrated in gastric cancer; not generalised across tumour types.
NPR2,n/a (receptor),"receptor for CNP, not an HF ligand",32444692,ligand: CNP,No direct solid-tumour functional evidence retrieved.,Marked unsupported for cancer relevance.
NPR3,n/a (receptor),clearance receptor,32444692,ligand: ANP/BNP/CNP,No solid-tumour evidence retrieved.,Any nomination of NPR3 as a tumour receptor axis would be unsupported by retrieved literature.
PENK,yes,protein (plasma) + clinical; plasma proenkephalin A elevated in acute HF and HFpEF and independently prognostic,28057251;31091993,OPRK1/OPRD1/OPRM1 (enkephalin GPCRs); OGFR (non-GPCR),"Classical receptors: contradictory. OPRK1 and OPRD1 transcripts are enriched in tumours pan-cancer but with no survival association after adjustment (35359418); nuclear KOR predicted poor prognosis in oesophageal SCC (23574786) while KOR agonism was anti-angiogenic and KOR-knockout tumours grew faster (24225480). The met-enkephalin growth effect that IS reproducible runs through OGFR, a nuclear-envelope protein unrelated to the GPCRs (11890982, 21531450).","Critical caveat: PENK elevation in HF is driven mainly by renal function - eGFR was the strongest independent predictor and PENK clustered with renal markers (31091993). Elevated plasma PENK in HF is substantially a cardiorenal readout, not proof of cardiac secretion."
OPRK1,n/a (receptor),not an HF ligand,-,ligand: dynorphin/enkephalins,Transcript higher in tumour than normal tissue pan-cancer (OR 1.27) but NOT associated with disease-free interval or overall survival after adjustment (35359418). Nuclear KOR prognostic in oesophageal SCC (23574786). KOR agonists suppressed tumour angiogenesis via VEGFR2 and KOR-knockout mice grew larger tumours (24225480) - i.e. the direction of effect is anti-tumour.,"The single most important counter-finding for an OPRK1 axis: higher tumour expression does not translate into worse outcome, and pharmacology points the opposite way."
OPRD1,n/a (receptor),not an HF ligand,-,ligand: enkephalins,Highest tumour-versus-normal transcript enrichment of the three classical receptors (OR 1.66) but again no adjusted outcome association (35359418).,"The two hepatocellular-carcinoma papers most often cited for DOR-driven progression are RETRACTED (PMIDs 23903826, 26549838) and were excluded here."
OPRM1,n/a (receptor),not an HF ligand,-,ligand: beta-endorphin/enkephalins,"The best-studied receptor: protein overexpressed in lung cancer and higher in metastatic cases (24920011), MOR expression plus opioid requirement predicted worse survival in prostate cancer (24104703). But transcript is LOWER in tumour than normal tissue pan-cancer (OR 0.74; 35359418), and two randomised trials found opioid-sparing anaesthesia did not reduce recurrence (31645288, 34192298).",Direction of transcript change is opposite to the protein/IHC literature - a caution for any transcript-only nomination.
POSTN,yes,"transcript + protein (myocardium); periostin mRNA up and protein detectable only in failing hearts, correlating with fibrosis; localised to a FAP/POSTN disease-associated fibroblast state in human HF",24219836;39443792;32475164,"Integrins (ITGB3, ITGB5, ITGAV)","Strong and consistent. Periostin drives ovarian cancer migration, invasion and metastasis via integrin beta-3/beta-5-ERK-NF-kB (36550569) and periostin-high CAFs promote lymph node metastasis in cervical SCC by breaking lymphatic endothelial barriers (33124726).","The best-supported axis in this list, and the only ligand identified from an unbiased HF-serum depletion experiment (32475164). But Postn-knockout mice still showed cardiac-remodelling-dependent tumour promotion (38139195), so periostin is sufficient but not necessary."
SFRP1,limited,transcript/protein in cardiac disease reported at family level only; SFRP1-specific human HF evidence not retrieved,32064070,FZD receptors; LRP5/6 (as Wnt sequestrant),"Tumour-suppressive: SFRP1 is silenced by promoter hypermethylation in most breast cancers and SFRP overexpression inhibits growth (18283316, 24316024).","Direction problem: SFRPs are Wnt ANTAGONISTS. More SFRP ligand predicts LESS Wnt-driven tumour growth, so a positive ligand-receptor compatibility score would have the wrong sign."
SFRP2,yes,"protein (animal myocardium) + functional; upregulated after MI in rat and in the failing hamster heart, antibody blockade improved ejection fraction; human HF plasma evidence not retrieved",21078975,FZD receptors; also inhibits BMP1 procollagen processing,Tumour-suppressive by family-level evidence (24316024); SFRP2 is methylated in 100% of tested breast cancer cell lines (18283316).,"Human HF evidence is limited to animal and hamster models; effect is on fibrosis, and cancer direction is antagonistic."
FZD2,n/a (receptor),not an HF ligand,-,ligands: WNT5A/WNT5B (noncanonical),"Strong in cancer generally: FZD2 drives EMT and metastasis via a noncanonical Fyn-STAT3 pathway and an anti-FZD2 antibody inhibits xenograft growth (25417160); high FZD2 predicts poor prognosis in HCC (30677195) and breast cancer (33832493); pan-cancer upregulation (40444048). For GYNAECOLOGIC cancer specifically the evidence is INDIRECT: WNT5A is upregulated across all major ovarian subtypes (24924122), host-derived WNT5A drives peritoneal metastasis (31932454), and WNT5A overexpression upregulates FZD2/FZD5 in ovarian lines (33723319) - but no study retrieved measures FZD2 in ovarian or endometrial tumours as a primary endpoint.","This is a genuine gap: targeted searches for FZD2 in ovarian/endometrial cancer returned no direct study. If the analysis nominates a FZD2-gynaecologic axis, the paper must state that FZD2 itself is unvalidated in these tumours and that the supporting evidence is the WNT5A-FZD2/FZD5 relationship."
GDF15,yes,"protein (plasma) + clinical; elevated in HFpEF and HFrEF, independently prognostic, marks inflammatory pathway activation",28062617;34989084,GFRAL (with RET co-receptor),"GFRAL is restricted to the area postrema and nucleus tractus solitarius of the brainstem (28953886), so circulating GDF15 cannot signal to peripheral tumour cells through its canonical receptor. The established cancer role is host cachexia: anti-GFRAL antibody reverses cachexia in tumour-bearing mice (32661391).","Decisive receptor-compatibility failure. GDF15 is one of the best-established HF-elevated ligands but its receptor is not expressed on tumours - a useful NEGATIVE CONTROL for a compatibility-scoring design. Note GDF15 also predicts incident cancer in the community (28062617), which is confounding, not signalling."
SERPINA3,limited,transcript (myocardium); recurrent across failing-myocardium microarray meta-analysis and nominated as an HF-secreted candidate in the founding HF-tumour experiment,19638707;29459363,No defined single-pass receptor; acts as a protease inhibitor / nuclear-binding secretory serpin,Bidirectional by tumour type: tumour-suppressive in lung cancer (37417362) but tumour-promoting in triple-negative breast cancer (33569740); reviews conclude compartment- and cancer-specific function with obscure mechanism (35843512).,"SERPINA3 has no canonical receptor, so it cannot be scored in a ligand-receptor compatibility framework at all. Human HF plasma quantification was not retrieved. Its prominence rests on being a candidate in Meijers 2018, not on independent validation."
