exploratory_status,tumor_type,n,rho,p,fdr,sig_negative,sig_positive,prespecified_direction,barcode_match_method,n_matched_samples,n_cohort_expr_samples,B2_verdict
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",BLCA,397,-0.10331717488181105,0.03962870791571971,0.04572543221044582,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",BRCA,1083,-0.3121323594273424,6.687350585560304e-26,5.015512939170228e-25,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",COAD,441,-0.27008717861739523,8.25420630728873e-09,2.0635515768221823e-08,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",ESCA,173,-0.26545790822830284,0.0004158973881973461,0.000779807602870024,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",HNSC,514,-0.10096996377056526,0.022054513264196732,0.027568141580245915,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",KICH,65,-0.20323426573426573,0.10443354824852623,0.11189308740913524,False,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",KIRC,515,-0.1144510353456702,0.009334794171527487,0.01400219125729123,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",KIRP,279,-0.1513790014387248,0.01134842815138945,0.015475129297349252,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",LIHC,362,-0.3926652808872167,8.562271432799355e-15,2.5686814298398065e-14,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",LUAD,457,-0.4523424344641796,1.9730190215141953e-24,9.865095107570975e-24,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",LUSC,486,-0.3599191283178337,2.6078143471838505e-16,9.779303801939438e-16,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",PRAD,405,-0.161569368012774,0.0011026508185550449,0.0018377513642584083,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",STAD,391,-0.5781885151763527,2.9502780484821248e-36,4.425417072723187e-35,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",THCA,500,-0.1740894901394432,9.118103749494073e-05,0.0001953879374891587,True,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",UCEC,528,0.007371978187902456,0.865799794932077,0.865799794932077,False,False,negative rho,expression 28-char aliquot_barcode truncated to 15-char sample barcode (TCGA-XX-XXXX-NN); replicate aliquots of same sample averaged; joined to tcga_tme_scores.sample_barcode (all 15-char),6596,6887,PASS (median within-type rho=-0.2032 < 0 AND 13/15 types BH-FDR<0.05 with negative rho >= 8)
