id,severity,location,claim,verified,diagnosis,fix
1,ERROR,§2.7 line 263; abstract,710 TCGA adjacent-normal samples,"680 — sum of per-type counts in receptor_tumor_vs_normal.csv (BRCA 114, KIRC 72, THCA 59, LUAD 58, PRAD 52, LUSC 51, LIHC 50, HNSC 43, COAD 40, KIRP 32, STAD 32, KICH 25, UCEC 22, BLCA 19, ESCA 11)",710 is n_mapped_to_tumor_type from specificity_summary.json — samples mapped to a tumour type BEFORE the >=10-normals-per-type filter. 30 of them fall in types that were then dropped. The figure actually used is 680.,"Change to 680, or say '710 mapped, 680 in the 15 analysed types'"
2,ERROR,§2.7 line 272; abstract; §2.9 summary,NPR1 fails the expression floor in 26 of 30 types,"24 of 30 — NPR1 passes the floor in KIRC, KIRP, MESO, OV, PCPG, SARC (passes_tcga_floor_in_type in receptor_tumor_vs_normal.csv)",26 traces to specificity_summary.json prose written by the sub-agent; the column it summarises says 24. Never independently recomputed in the original audit.,Change to 24 of 30. Conclusion unaffected — NPR1 still fails in the large majority.
3,ERROR,§2.6 line 224,"RPL3 -2.53, PLK1 -2.69, POLR2B -2.42, EEF2 -2.35","From depmap_lineage_dependency.csv (mean over 25 lineages): RPL3 -2.548, PLK1 -2.674, POLR2B -2.395, EEF2 -2.366","Paper quotes depmap_summary.json's positive_control_gene_effects (-2.533, -2.693, -2.418, -2.350), which are pan-CELL-LINE means. The per-lineage table gives different values. Both defensible, but the paper cites neither source explicitly and rounds inconsistently.","State which aggregation is quoted; -2.53/-2.69 are pan-cell-line, -2.55/-2.67 are pan-lineage."
4,INCONSISTENCY,§2.7 line 275 vs §2.8 tables,zero of 160 floor-passing interactions survive,"axis_survival.csv has 146 rows, all survives_both=False. 160 is the count of floor-passing INTERACTIONS (complex-level, e.g. BMP4_BMPR1A_ACVR2A); 146 is ligand->receptor-SUBUNIT pairs (BMP4->ACVR2A).",Two different units of analysis given one number. Both counts are individually correct; the sentence attaches the survival test to the wrong denominator.,'zero of 146 ligand-receptor-subunit axes derived from the 160 floor-passing interactions'
5,INCONSISTENCY,§2.8 line 293,"FZD7 vs housekeeping mean rho=0.131, p=0.447 — reported in the sentence describing the 4v4 panel","0.131/0.447 is receptor_vs_housekeeping_pool_rho over all DepMap Uterus lines. Recomputed on the 16 panel rows: rho=0.437, p=0.091; on the 8 primary-panel rows: rho=0.214, p=0.610.","A pool-level statistic placed in a sentence about the panel. The claim it supports (receptor level is not a library-size artefact) holds at every level, but the number quoted is not the panel's.",Say 'across the 36 screened Uterus lines' rather than implying the panel.
6,INCOMPLETE,§2.8 line 291,"controls HEC108, HOUAI, HEC151, HEC251 ... 48.7-fold mean linear TPM separation",48.72x is exact for the 4 responders vs all 4 controls in the primary panel. Confirmed.,No error. Recorded because an earlier version of my own audit prose named only three control lines; the paper itself names all four correctly.,None.
7,STALE,"Abstract; §3 items 3,5; §2.7 heading",Zero axes satisfied both specificity criteria / specificity checks refute the axis-level hypothesis,"Superseded by the corrected-specificity phase: 7 axes survive when cardiac source is scored by failure induction (axis_survival_corrected.csv), all PTN. Those 7 were then withdrawn by adversarial testing (validation rows 42-50).","Not wrong as written — it is true under the healthy-heart filter — but the paper does not yet contain §2.10/§2.11 or the PTN verdict, so a reader sees a conclusion the project has since tested twice.",Merge REVISED_SECTIONS.md and PTN_VERDICT.md into PAPER.md; apply the abstract wording in PTN_VERDICT.md.
8,STALE,§6 opening; §7,Six errors were found and corrected ... rows 26-31 of validation_summary.csv / 31 controls,"validation_summary.csv now has 50 rows (19 PASS, 13 FAIL, 7 CORRECTED, 4 NULL RESULT, 2 UNINFORMATIVE, 2 LARGELY FAIL, 1 each ENFORCED/FLAG/LARGELY NULL). Rows 26-31 are still the six audit corrections.",Row references remain valid; the totals in §7 do not.,"Update §7 counts to 50 rows, and add the errors found in THIS audit as new rows."
9,STALE,§7; TABLE_INDEX.csv,Twenty-two numbered tables (TABLE_INDEX.csv),"TABLE_INDEX.csv has 22 rows and does not list any of the 11 tables produced after it: ligand_specificity_failure_based, axis_survival_corrected, npr1_survival/proliferation/copynumber, receptor_base_rate_audit, ptn_receptor_null, ptn_receptor_correlation, ptn_cross_tissue_induction, ptn_cell_of_origin, ptn_literature.",Index frozen at the first phase.,"Extend TABLE_INDEX to 33 rows; FIGURE_INDEX to 7 (fig6, fig7 missing)."
10,HAZARD,"TABLE_INDEX.csv rows 17, 18, 20","version_id pointers for receptor_tumor_vs_normal.csv, ligand_tissue_specificity.csv, tumor_normal_tissue_map.csv",Each filename exists as TWO separate artifacts. TABLE_INDEX points at b9491a67 (13 cols) but the paper's numbers come from 9c318e4e (25 cols); it points at c4b0258c (51 rows) but the '2 of 42' claim needs a82f4063 (42 rows).,"A reader following TABLE_INDEX gets a table lacking the columns behind the claims — n_tcga_adjacent_normals, log2FC_bg_corrected_within_tcga, fdr_within_tcga, passes_tcga_floor_in_type, consensus_direction are all absent from the indexed version.","Repoint rows 17/18/20 at the versions the results use, or list both with roles."
11,COSMETIC,lines 169 and 201,Figure order,"Figure 3 is embedded at line 169, Figure 2 at line 201. Each embed correctly matches its own caption and FIGURE_INDEX entry; only the document order is inverted.","Figures appear 1, 3, 2, 4, 5. There are no in-text 'Figure N' cross-references, so nothing resolves incorrectly — but numbering should follow appearance.","Swap the two blocks, or renumber."
12,AMBIGUOUS,§2.7 line 252-256,only 2 of 42 ... The remaining 39 peak elsewhere,2 + GDF6 + 39 = 42. Arithmetic is exact.,"'Remaining 39' silently excludes GDF6, which was described in the preceding clause. Correct but requires the reader to do the subtraction.",'The other 39' -> 'The remaining 39 (excluding GDF6)'.
